zipcode,latitude,longitude,state,population,2015,2016,2017,2018,2019,2020,2021,2022,2023,Net_Income,bedroom_number,bathroom_number,living_space,land_space
75098,33.01432,-96.53531,TX,64326,210874.3181,237030.6969,260482.6058,274055.1505,277330.1274,286927.7537,338422.6508,422456.5094,424269.4343,92279,4,3,2756,5932
75103,32.51201,-95.88363,TX,15900,149899.6995,157664.0861,172111.3462,186783.0649,200317.4489,218790.2316,257508.9408,295921.0719,292338.0802,27534,3,2,2215,1174
75104,32.58295,-96.96712,TX,49566,141743.3543,157799.1014,175707.2988,194773.7179,207818.8313,220211.7497,257959.1784,314139.8338,316922.0729,103520,4,3,3222,3390
75110,32.08071,-96.52344,TX,30555,83091.79886,88697.56418,97154.40616,106716.1613,114880.7899,122519.0955,142997.9959,165641.9194,176472.9819,70091,3,2,1891,3463
75114,32.60769,-96.44322,TX,6438,137278.3242,152374.6969,169161.8601,185183.1665,195323.3026,205390.7313,242388.6428,292053.619,287654.2669,9471,4,2,2061,4247
75115,32.59831,-96.86433,TX,55879,151689.9548,169543.2745,188613.1629,207711.3044,220656.2556,232217.0754,270897.9954,328450.6009,330915.9269,123440,4,3,2493,4342
75116,32.66013,-96.91402,TX,21105,112547.5752,127567.6252,143576.9682,163077.4177,177476.6945,188006.3093,218250.7596,262955.4222,268623.9589,51910,3,2,1920,3366
75117,32.71005,-95.85268,TX,4753,132286.5589,138487.0882,149236.7375,161582.7853,175675.7496,190168.8446,225836.4786,261901.3291,255988.8871,7900,3,2,2005,1243
75119,32.32293,-96.59107,TX,28765,121928.6234,135302.6977,151563.6948,168591.8945,180827.9069,195420.435,226061.8323,259323.5226,254915.0681,59550,3,3,2163,3930
75124,32.32579,-95.96932,TX,5205,150433.7265,157887.131,171012.1516,183577.0663,193295.9053,210292.3968,261450.8862,306321.8166,298276.5684,10203,3,2,1769,563
75125,32.52983,-96.61563,TX,7198,123578.8644,132726.2089,154778.7389,183839.6079,197251.4153,216128.387,247649.4197,278321.1572,267896.5747,17287,3,2,1839,4659
75126,32.74361,-96.45289,TX,60232,192120.7923,210701.838,228514.2209,240099.1613,244812.8553,250259.1561,293559.1514,359205.7234,346539.4519,63727,4,3,2279,5318
75134,32.62308,-96.78007,TX,19341,110348.7328,127334.8133,144207.5255,162109.4283,175349.6083,186864.8373,219250.783,269816.4885,274250.2553,60643,4,2,2038,6413
75135,33.06666,-96.22567,TX,8075,154926.3071,171161.8006,196685.3413,221268.0758,237003.2799,255217.417,301175.5708,359003.5476,356820.3192,12658,4,2,1875,3735
75137,32.63421,-96.91224,TX,19352,125167.7557,142120.6965,160652.1948,180872.5642,193690.8649,204817.8403,236901.6787,283932.4471,287344.0596,45779,4,3,2315,4378
75140,32.64485,-95.68854,TX,7365,120135.1921,124271.1062,131181.9996,138023.275,153530.3084,173492.6791,210562.2916,238824.6242,222904.4645,15629,3,2,1897,606
75141,32.63984,-96.69257,TX,3868,75194.64833,87263.95846,103676.5052,127226.9778,149568.5798,167916.1171,193868.8381,236792.7584,242159.5139,10481,3,2,1616,3287
