zipcode,latitude,longitude,state,population,bedroom_number,bathroom_number,living_space,land_space,year_built,2015,2016,2017,2018,2019,2020,2021,2022,2023,net_income,2024
75117,32.71005,-95.85268,TX,4753,3,2,2005,1243,1997,132286.56,138487.09,149236.74,161582.79,175675.75,190168.84,225836.48,261901.33,255988.89,7900,256866.04
75119,32.32293,-96.59107,TX,28765,3,3,2163,3930,2004,121928.62,135302.7,151563.69,168591.89,180827.91,195420.44,226061.83,259323.52,254915.07,59550,258889.63
75124,32.32579,-95.96932,TX,5205,3,2,1769,563,1970,150433.73,157887.13,171012.15,183577.07,193295.91,210292.4,261450.89,306321.82,298276.57,10203,294241.11
75125,32.52983,-96.61563,TX,7198,3,2,1839,4659,2003,123578.86,132726.21,154778.74,183839.61,197251.42,216128.39,247649.42,278321.16,267896.57,17287,276107.5
75126,32.74361,-96.45289,TX,60232,4,3,2279,5318,1945,192120.79,210701.84,228514.22,240099.16,244812.86,250259.16,293559.15,359205.72,346539.45,63727,359319.61
75134,32.62308,-96.78007,TX,19341,4,2,2038,6413,1953,110348.73,127334.81,144207.53,162109.43,175349.61,186864.84,219250.78,269816.49,274250.26,60643,277159.5
75135,33.06666,-96.22567,TX,8075,4,2,1875,3735,1973,154926.31,171161.8,196685.34,221268.08,237003.28,255217.42,301175.57,359003.55,356820.32,12658,357899.15
75137,32.63421,-96.91224,TX,19352,4,3,2315,4378,1982,125167.76,142120.7,160652.19,180872.56,193690.86,204817.84,236901.68,283932.45,287344.06,45779,291384.24
75140,32.64485,-95.68854,TX,7365,3,2,1897,606,1998,120135.19,124271.11,131182,138023.28,153530.31,173492.68,210562.29,238824.62,222904.46,15629,228214.27
75141,32.63984,-96.69257,TX,3868,3,2,1616,3287,1954,75194.65,87263.96,103676.51,127226.98,149568.58,167916.12,193868.84,236792.76,242159.51,10481,239298.1
75142,32.57004,-96.24637,TX,22870,4,2,2214,2647,1915,133828.45,148762.16,164647.86,182868.34,193287.6,206169.7,244774.55,288512.73,282982.03,41859,286124.69
75144,32.11157,-96.20954,TX,4030,3,3,2172,2188,1973,88309.7,95603.18,101741.14,116346.09,123307.33,138762.31,167658.67,198148.34,199235.71,6864,196984.07
75146,32.57608,-96.75137,TX,24873,3,2,2239,5571,1956,120863.87,138007.16,154933.26,173727.36,187009.62,198437.25,233434.96,285810.54,288253.64,58738,288203.28
75148,32.12491,-96.01173,TX,6237,3,3,2210,522,1948,140034.25,150198.31,162791.86,174673.48,184247.8,199545.99,255791.19,295823.51,291387.15,14231,279192.77
75149,32.76994,-96.6151,TX,59225,3,2,1590,5567,1968,97750.14,115460.57,135205.44,152800.71,163341.81,172775.44,198623.41,241957.69,247677.23,150000,250512.23
75150,32.81545,-96.6308,TX,64817,4,2,1808,5887,1910,113024.27,130546.39,149426.02,165931.68,177235.53,188060.63,217145.08,260742.44,266254.39,160064,269043.17
75154,32.52319,-96.80885,TX,47111,4,3,2426,4184,1968,166723.34,184454.03,205214.8,223808.2,235576.94,248925.76,289214.65,345545.53,346892.27,84053,349511.65
75156,32.28759,-96.09999,TX,16500,3,2,1853,3482,1998,157743,161057.51,174263,190472.58,201745.97,217035.47,281991.1,329664.62,316204.38,32193,309617.12
75158,32.46694,-96.39315,TX,5496,3,2,2092,482,2007,160550.55,174829.01,192923.15,215152.46,229710.64,244819.42,293174.6,348785.76,339938.94,7563,343327.15
75159,32.60652,-96.53939,TX,22514,4,2,2118,2111,1960,123070.76,139568.14,156554.17,174878.69,186579.62,198415.59,232362.33,286395.92,287143.39,41339,291618.35
75160,32.76466,-96.29835,TX,24465,3,2,2187,3174,1995,114590.17,128605.98,144542.49,160832.38,171552.94,183408.05,215931.02,258428.19,258464.61,61824,259840.03
75161,32.73609,-96.17129,TX,8040,3,2,1878,7,1991,146839.6,163653.7,177246.3,198395.24,211610.25,227009.99,275249.47,329406.97,326841.42,13101,322287.6
75163,32.1672,-96.10999,TX,2450,3,2,2133,1735,2005,175108.87,177942.99,191905.07,210769.2,220749.94,235289.58,308930.98,367810.03,359387.77,4565,347472.32
75165,32.36687,-96.79677,TX,47183,4,3,2376,5168,2009,162059.29,178863.79,197962.46,215859.12,225182.27,238666.4,278669.91,333064.61,333616.28,86396,337102.34
75166,33.01671,-96.4495,TX,5589,4,3,2715,5106,1915,209190.05,231126.49,247356.59,258603.41,264389.71,272690.98,324056.42,403709.76,387605.41,6009,409945.27
75167,32.36123,-96.91547,TX,12332,4,3,2776,1576,1994,219931.24,240128.19,265676.76,287990.29,300764.32,320380.91,378042.55,450873.52,456916.36,15079,450458.02
75169,32.70335,-95.99754,TX,14496,3,2,2000,1267,1950,119037.1,128106.57,140474.47,157280.47,170498.05,189008.79,224148.18,255307.05,252134.76,33066,248510.03
75172,32.60369,-96.67458,TX,5248,3,2,1092,5213,1961,63842.88,75714.31,84561.43,99369.8,115227.65,139292.71,162823.91,196900.54,203212.8,13351,195871.86
75180,32.71937,-96.61841,TX,26560,3,2,1723,5095,1921,83596.38,98934.59,119113.29,141296.47,153528.91,165164.63,190237.7,230091.95,230087.93,65779,234665.61
75181,32.72696,-96.555,TX,27336,4,3,2156,5754,1910,156568.84,173551.35,193486.86,210150.29,219328.44,228819.07,267574.75,330317.76,329361.78,54597,339011
75182,32.80033,-96.55425,TX,7647,4,3,23709,386,1997,347042.27,379839.8,402280.87,416866.37,425027.14,438397.11,508712.26,615573.11,636919.97,7442,623797.94
75189,32.94821,-96.30941,TX,35243,4,3,2276,5231,1993,186109.88,204341.6,226088.77,241045.8,245334.4,251965.46,292549.81,364021.41,352560.67,45204,373732.68
75201,32.78826,-96.79953,TX,17491,2,3,2459,1861,1999,587711.63,633327.04,661118.48,687549.64,695717.39,698088.87,750893.67,867553.53,836620.06,21092,895054.98
75202,32.77843,-96.8037,TX,2212,2,2,1273,1,1965,197161.92,226050.16,242688.63,255369.91,261039.09,263546.23,275425.03,308774.79,309510.81,4612,318728.34
75203,32.74439,-96.80206,TX,16455,3,2,1726,4665,1920,62590.54,77227.13,91938.25,111527.83,124979.77,137322.26,169601.76,203854.98,203655.14,43282,198759.73
75204,32.80216,-96.78885,TX,31860,2,3,2295,2128,1959,300754.2,337329.87,362165.83,383073.07,386681.18,390635.91,423693.36,480879.5,491783.08,55967,489730.74
75205,32.83657,-96.79617,TX,24804,4,5,4573,3904,1977,1003043.43,1056838.67,1074770.79,1103672.22,1112312.2,1130063.41,1315597.56,1637553.29,1716398.65,19355,1670141.42
75206,32.83161,-96.77032,TX,38209,3,3,2247,5718,1985,321127.7,360283.36,383150.24,406327.6,415904.09,422943.08,467230.44,540771.27,547033.48,57181,548199.76
75208,32.75409,-96.83943,TX,29941,3,3,2049,5847,1979,182860.79,221942.37,254291.91,286937.05,297314.02,313823.13,353850.62,404228.74,411282.78,71152,405118.9
75209,32.8487,-96.8257,TX,14205,3,3,2911,5056,2009,471241.07,522083,554010.16,584374.97,593442.77,601874,675238.88,817384.82,846092.43,23756,838640.07
75210,32.77141,-96.74618,TX,9270,4,2,1402,4419,1931,48565.52,51731.05,59454.13,74279.29,84009.41,96094.69,115890.92,138843.3,139193.34,28022,142036
75211,32.73649,-96.90214,TX,75213,3,2,1477,6482,2003,92785.93,108981.28,124545.59,140565.57,153663.26,166786.05,192663.62,228845.42,233564.77,194248,235354.48
75212,32.78203,-96.87853,TX,26673,3,3,1762,5230,1885,65642.08,80744.02,99283.35,124514.98,145705.18,162802.78,188044.49,224938.18,230956.77,80059,229969.3
75214,32.82899,-96.74348,TX,33621,3,3,2619,6215,1948,401759.28,441466.65,463647.56,484540.52,494771.84,509119.67,578532.86,681219.34,711708.98,47441,683289.4
75215,32.75259,-96.76075,TX,17960,3,2,1525,4736,1919,49433.25,57131.14,65823.69,81642.41,94985.51,106010.73,131359.65,160577.24,161714.36,57310,160325.71
