zipcode,latitude,longitude,state,population
76655,31.39,-97.17,TX,8616.0
76657,31.44,-97.4,TX,11723.0
76661,31.31,-96.85,TX,7388.0
76664,31.56,-96.8,TX,4015.0
76665,31.92,-97.72,TX,2838.0
76667,31.66,-96.47,TX,10385.0
76670,32.13,-96.99,TX,1815.0
76671,31.99,-97.53,TX,1635.0
76673,31.75,-96.89,TX,1253.0
76682,31.45,-96.91,TX,3182.0
76687,31.37,-96.49,TX,1915.0
76689,31.67,-97.5,TX,3878.0
76690,32.1,-97.79,TX,1200.0
76692,31.96,-97.33,TX,9508.0
76693,31.81,-96.44,TX,2170.0
76701,31.55,-97.14,TX,1953.0
76704,31.58,-97.12,TX,7791.0
76705,31.62,-97.09,TX,31902.0
76706,31.46,-97.09,TX,39488.0
76707,31.55,-97.16,TX,16430.0
76708,31.63,-97.21,TX,26155.0
76710,31.54,-97.2,TX,23385.0
76711,31.51,-97.15,TX,10237.0
76712,31.52,-97.26,TX,27310.0
76801,31.75,-99.05,TX,25081.0
76802,31.72,-98.89,TX,5727.0
76821,31.74,-99.95,TX,4430.0
76823,31.69,-99.16,TX,2698.0
76825,31.09,-99.39,TX,6539.0
76834,31.88,-99.47,TX,4995.0
76844,31.44,-98.49,TX,3243.0
76857,31.93,-98.93,TX,1984.0
76861,31.59,-100.2,TX,2053.0
76890,31.69,-98.76,TX,884.0
76903,31.48,-100.44,TX,30312.0
76904,31.29,-100.42,TX,36132.0
76905,31.5,-100.32,TX,13052.0
76935,31.08,-100.42,TX,1916.0
77002,29.76,-95.37,TX,18892.0
77003,29.75,-95.35,TX,9992.0
77004,29.72,-95.36,TX,34197.0
77005,29.72,-95.42,TX,28310.0
77006,29.74,-95.39,TX,22678.0
77007,29.77,-95.41,TX,40653.0
77008,29.8,-95.42,TX,37097.0
77009,29.79,-95.37,TX,37654.0
77011,29.74,-95.31,TX,17060.0
77012,29.72,-95.27,TX,17932.0
77013,29.8,-95.24,TX,19296.0
77014,29.98,-95.46,TX,37471.0
77015,29.76,-95.17,TX,58276.0
77016,29.86,-95.3,TX,30252.0
77017,29.69,-95.25,TX,33627.0
77018,29.83,-95.43,TX,28403.0
77019,29.75,-95.41,TX,22475.0
77020,29.77,-95.31,TX,26252.0
77021,29.7,-95.36,TX,26287.0
77022,29.83,-95.38,TX,26476.0
77023,29.72,-95.32,TX,27676.0
77024,29.77,-95.51,TX,37694.0
77025,29.69,-95.44,TX,29539.0
77026,29.8,-95.33,TX,21412.0
77027,29.74,-95.45,TX,19386.0
77028,29.82,-95.29,TX,19506.0
77029,29.76,-95.26,TX,16223.0
77030,29.71,-95.4,TX,11787.0
77031,29.65,-95.55,TX,16710.0
77032,29.97,-95.34,TX,13887.0
77033,29.67,-95.34,TX,28669.0
77034,29.62,-95.19,TX,38875.0
77035,29.65,-95.48,TX,35335.0
77036,29.7,-95.54,TX,68797.0
77037,29.89,-95.39,TX,18106.0
77038,29.92,-95.44,TX,32275.0
77039,29.91,-95.34,TX,27501.0
77040,29.88,-95.53,TX,50192.0
77041,29.86,-95.58,TX,33053.0
77042,29.74,-95.56,TX,40861.0
77043,29.81,-95.58,TX,25122.0
77044,29.9,-95.18,TX,53753.0
77045,29.64,-95.43,TX,32627.0
77047,29.61,-95.39,TX,33199.0
77048,29.62,-95.33,TX,19413.0
77049,29.83,-95.15,TX,39514.0
77050,29.9,-95.27,TX,5745.0
77051,29.66,-95.38,TX,19077.0
77053,29.59,-95.46,TX,30642.0
77054,29.68,-95.4,TX,23699.0
77055,29.8,-95.49,TX,43780.0
77056,29.75,-95.47,TX,22062.0
77057,29.75,-95.49,TX,44056.0
77058,29.56,-95.09,TX,17651.0
77059,29.61,-95.12,TX,18020.0
77060,29.94,-95.4,TX,47349.0
77061,29.65,-95.28,TX,25485.0
77062,29.58,-95.13,TX,24761.0
77063,29.74,-95.52,TX,39855.0
77064,29.92,-95.55,TX,49305.0
77065,29.93,-95.6,TX,40140.0
77066,29.96,-95.5,TX,40053.0
77067,29.95,-95.45,TX,33420.0
77068,30.01,-95.49,TX,11031.0
77069,29.99,-95.52,TX,19054.0
77070,29.98,-95.57,TX,58462.0
77071,29.65,-95.52,TX,27221.0
77072,29.7,-95.59,TX,63585.0
77073,30.0,-95.4,TX,38857.0
77074,29.69,-95.52,TX,39088.0
77075,29.62,-95.27,TX,42736.0
77076,29.86,-95.38,TX,33171.0
77077,29.75,-95.64,TX,63168.0
77078,29.85,-95.25,TX,13738.0
77079,29.78,-95.6,TX,34633.0
77080,29.82,-95.52,TX,45391.0
77081,29.71,-95.48,TX,51374.0
77082,29.72,-95.64,TX,52827.0
77083,29.69,-95.65,TX,77663.0
77084,29.83,-95.66,TX,107864.0
77085,29.62,-95.48,TX,17101.0
77086,29.92,-95.49,TX,30071.0
77087,29.69,-95.3,TX,36710.0
77088,29.88,-95.45,TX,54601.0
77089,29.59,-95.23,TX,59042.0
77090,30.01,-95.44,TX,39478.0
77091,29.85,-95.44,TX,30008.0
77092,29.83,-95.48,TX,35822.0
77093,29.86,-95.34,TX,47417.0
77094,29.77,-95.7,TX,11139.0
77095,29.91,-95.65,TX,71138.0
77096,29.67,-95.48,TX,32744.0
77098,29.73,-95.42,TX,15414.0
77099,29.67,-95.58,TX,50113.0
77301,30.31,-95.43,TX,33409.0
77302,30.23,-95.36,TX,19165.0
77303,30.38,-95.38,TX,22502.0
77304,30.33,-95.52,TX,36700.0
77306,30.28,-95.31,TX,16650.0
77316,30.31,-95.69,TX,29191.0
77318,30.45,-95.54,TX,18348.0
77320,30.81,-95.56,TX,38572.0
77327,30.33,-94.92,TX,29710.0
77328,30.41,-95.19,TX,18297.0
77331,30.62,-95.18,TX,7114.0
77338,30.01,-95.28,TX,46780.0
77339,30.05,-95.22,TX,42652.0
77340,30.65,-95.53,TX,32826.0
77345,30.05,-95.16,TX,27274.0
77346,29.99,-95.18,TX,67587.0
77351,30.7,-94.82,TX,34047.0
77355,30.16,-95.75,TX,31164.0
77356,30.45,-95.7,TX,28689.0
77357,30.16,-95.18,TX,29992.0
77358,30.55,-95.45,TX,5324.0
77360,30.85,-95.11,TX,5805.0
77362,30.16,-95.67,TX,6361.0
77364,30.77,-95.22,TX,2272.0
77365,30.12,-95.27,TX,36802.0
77371,30.49,-94.98,TX,7291.0
77372,30.24,-95.18,TX,14103.0
77373,30.06,-95.38,TX,63296.0
77375,30.09,-95.59,TX,62970.0
77377,30.06,-95.68,TX,38689.0
77378,30.46,-95.37,TX,17549.0
77379,30.04,-95.53,TX,82125.0
77380,30.14,-95.47,TX,29095.0
77381,30.18,-95.5,TX,36080.0
77382,30.2,-95.55,TX,41233.0
77384,30.23,-95.5,TX,21259.0
77385,30.19,-95.42,TX,24771.0
77386,30.1,-95.36,TX,64460.0
77388,30.06,-95.47,TX,53498.0
77389,30.12,-95.51,TX,41982.0
77396,29.95,-95.26,TX,61720.0
77401,29.7,-95.46,TX,17362.0
77406,29.65,-95.79,TX,58998.0
77407,29.68,-95.71,TX,73084.0
77414,28.91,-95.89,TX,24345.0
77417,29.47,-95.96,TX,2892.0
77418,29.98,-96.25,TX,10220.0
77422,28.96,-95.57,TX,14042.0
77426,30.12,-96.25,TX,2019.0
77429,29.99,-95.66,TX,88375.0
77430,29.26,-95.66,TX,1780.0
77433,29.95,-95.74,TX,103070.0
77434,29.53,-96.32,TX,4128.0
77435,29.51,-96.12,TX,3727.0
77437,29.2,-96.27,TX,18529.0
77447,30.05,-95.83,TX,18145.0
77449,29.84,-95.74,TX,119994.0
77455,29.14,-96.44,TX,2014.0
77459,29.53,-95.53,TX,77722.0
77461,29.39,-95.77,TX,11824.0
77465,28.71,-96.23,TX,7227.0
77469,29.49,-95.71,TX,57228.0
77471,29.55,-95.87,TX,41723.0
77474,29.78,-96.19,TX,14048.0
77477,29.63,-95.57,TX,33844.0
77478,29.62,-95.61,TX,23276.0
77479,29.57,-95.63,TX,90084.0
77480,29.09,-95.77,TX,8243.0
77482,29.09,-95.88,TX,1307.0
77486,29.15,-95.68,TX,7227.0
77488,29.3,-96.1,TX,14721.0
77489,29.6,-95.52,TX,38593.0
77493,29.85,-95.83,TX,48117.0
77494,29.75,-95.82,TX,129165.0
77498,29.64,-95.65,TX,52947.0
77502,29.68,-95.2,TX,37665.0
77503,29.69,-95.16,TX,24582.0
77504,29.65,-95.19,TX,25748.0
77505,29.65,-95.14,TX,22548.0
77506,29.72,-95.19,TX,37141.0
77510,29.35,-95.09,TX,13124.0
77511,29.39,-95.24,TX,49600.0
77514,29.69,-94.63,TX,5818.0
77515,29.18,-95.45,TX,33491.0
77518,29.51,-94.99,TX,10567.0
77520,29.75,-95.0,TX,36054.0
77521,29.81,-94.96,TX,63309.0
77523,29.78,-94.86,TX,26370.0
77530,29.79,-95.11,TX,30880.0
77531,29.04,-95.4,TX,15956.0
77532,29.93,-95.06,TX,30108.0
77534,29.21,-95.3,TX,3125.0
77535,30.05,-94.92,TX,37418.0
77536,29.69,-95.12,TX,33291.0
77539,29.46,-95.03,TX,45901.0
77541,29.01,-95.33,TX,17989.0
77545,29.54,-95.47,TX,25755.0
77546,29.51,-95.19,TX,54405.0
77547,29.74,-95.24,TX,9702.0
77550,29.31,-94.78,TX,22421.0
77551,29.28,-94.84,TX,23686.0
77554,29.23,-94.93,TX,9001.0
77562,29.83,-95.05,TX,10292.0
77563,29.31,-95.02,TX,10223.0
