zipcode,state,City,P_2015,P_2016,P_2017,P_2018,P_2019,P_2020,P_2021,P_2022,P_2023
76689,TX,Valley Mills,144968.1657893162,154197.89769080197,166573.8118033118,180681.90786550855,196666.47023239709,214294.81886649205,259653.73896097895,308226.9616048188,309154.4606213078
75638,TX,Daingerfield,82637.42994840308,88867.29361085239,91323.66301623527,96019.8271398709,100544.14550439907,109239.57841666196,131876.7544899936,150409.80593618008,148580.82920401
77963,TX,Goliad,187507.92590656958,187034.6852384254,189793.37062619056,204420.5545049044,225483.64892791546,234870.79788607266,241953.11028437488,244217.5948067536,229824.6082148523
77659,TX,Sour Lake,154530.13915472248,160524.0905014473,164561.18126248612,164504.7869646385,186228.62724252426,208081.35327238074,224973.288181146,244135.4953963037,243614.09866666427
77514,TX,Anahuac,167859.3920589166,172929.49330416208,175122.29392730817,181185.81919765982,191328.56892478478,203537.12511523324,222498.35985116797,239542.646623233,244170.8970387035
79363,TX,Shallowater,172555.42259294345,172493.5592698182,188670.2696238225,202120.41934647688,202392.33271659564,211873.8574244335,233541.45471809126,258592.02154877523,259187.67873544298
78263,TX,San Antonio,206571.6761762865,224199.0115186328,240181.2383775269,254346.0686091933,263870.3052848609,281013.7100081569,322216.06369922985,370507.79504518537,375678.98873128014
79088,TX,Tulia,51200.11557968353,54844.68929422704,55828.350251780146,62980.492753942475,65501.236291648675,73208.26372362484,79820.01107607075,91582.801556959,84979.46944961025
78160,TX,Stockdale,191509.5242951835,200399.10009882506,212557.52628092075,219646.53920949917,222584.70185939185,245184.6967829728,286839.4483003999,325484.5086664861,305350.28342498065
78583,TX,Rio Hondo,112371.38370377524,114070.5047168417,116765.60767493665,116924.54869794771,116078.92591540657,123696.34020159347,143611.2049046084,164333.46101935455,168116.23150537928
75457,TX,Mount Vernon,144880.0741879633,149669.58676395926,153139.043633608,162378.93545136802,169302.88532395542,184823.84194348205,220666.58175254127,256575.99717923775,257596.87056883657
79035,TX,Friona,85373.91091694748,89530.14469633477,90581.80024410873,94986.75301995651,97821.23199169483,104905.08144412101,122492.95052079804,129827.19336747956,123508.13664800515
79536,TX,Merkel,88439.58598579146,96922.64563981017,100089.83103132992,104114.78820641844,105600.43343791697,109515.91898681417,129785.60274811812,148321.46300081615,151351.37019904196
78052,TX,Lytle,183046.1750946427,186818.1781770383,197165.3244993745,206897.51548599728,217291.45521863725,231870.07613518112,264249.7686436169,299608.1461250179,288632.837547603
78059,TX,Natalia,163424.16749500483,171840.69612143713,185238.3920094068,196348.33775921256,210958.89363538078,232351.2880180357,264801.58926993,298629.64107783017,283144.19045527023
75124,TX,Eustace,150433.72649580505,157887.1310059669,171012.15158174816,183577.06633151547,193295.90530329675,210292.39680140544,261450.88624060937,306321.8165525168,298276.56843159173
75452,TX,Leonard,134625.44500590287,149117.71414580697,163848.46977173127,180868.52709249093,199889.52202206643,214759.92752685514,256128.91766839207,307088.73447149247,309145.6340993578
75765,TX,Hawkins,128705.815343784,133509.26952168645,139557.4977903231,149856.18054557274,159164.38430304112,179628.75306290563,219802.76210798914,255715.17966479086,265566.2150966876
79121,TX,Amarillo,186605.080795764,195399.0409758275,199445.0866069158,202851.99880845335,205483.67957354232,212251.52922617775,235455.76917896222,271196.88719420374,277118.7429937925
78370,TX,Odem,154056.09657125827,171110.77568554477,170393.47044638294,171249.28122502234,189104.3549620078,195311.30383077575,209198.68363943128,218494.89776490766,208305.00623003292
75141,TX,Hutchins,75194.64832777057,87263.95846274581,103676.50520102192,127226.97783895826,149568.57975232764,167916.11713223055,193868.83813753596,236792.75837604734,242159.5138891759
76365,TX,Henrietta,98604.62264241472,102098.15081101093,101632.21185150083,108442.27337189893,119948.41273878589,125213.21698783238,138319.61189049121,164767.75403225873,160734.94444110367
