zipcode,latitude,longitude,city,state,population,density,state_x,City,P_2015,P_2016,P_2017,P_2018,P_2019,P_2020,P_2021,P_2022,P_2023,Net_Income
75852,30.98723,-95.72023,Midway,TX,3306.0,8.6,TX,Midway,171049.12043556,184312.23756184653,191226.17600397312,198365.99925264725,203824.60512890117,223790.12614802495,268045.08565137786,326016.44973223825,327043.55280675774,4131.0
75859,31.8842,-96.25512,Streetman,TX,2125.0,6.2,TX,Streetman,221813.17058192528,219699.74300324856,224554.68640530322,239216.33237356457,253584.79314003245,270696.8743264336,325530.4461209367,398754.1936680663,402162.8606802913,3852.0
75860,31.62342,-96.24615,Teague,TX,6248.0,13.6,TX,Teague,103547.85510927632,108253.05617801094,107476.40171640301,112785.72908360204,116249.28072411823,124990.35816461984,151932.20377103935,177501.67430792438,167317.24201630466,12077.0
75862,30.96193,-95.32951,Trinity,TX,10245.0,16.4,TX,Trinity,95924.42058540625,101423.45552584574,102998.38819667837,110656.27010336438,118633.35357190878,125119.8804161119,147598.2145519917,168106.00926740942,164694.43882394693,23224.0
75901,31.30264,-94.65481,Lufkin,TX,28979.0,70.3,TX,Lufkin,106393.61564795733,109231.53743370558,112608.21207975961,115820.37181013088,128465.90612719457,140079.72570193058,156922.09590888882,174862.06984238155,183327.8565304445,69903.0
75904,31.33872,-94.83467,Lufkin,TX,34663.0,83.4,TX,Lufkin,116493.26451835757,119842.59916216774,122581.00531677187,123881.50266558673,136253.54665410199,149089.17519284092,169106.91382631552,188685.55471045393,191879.54923158773,82321.0
75929,31.23579,-94.19735,Broaddus,TX,1553.0,5.1,TX,Broaddus,111736.1531791105,124611.96755625524,134740.7703784051,150378.564191615,162063.30283951352,172598.34915065565,189757.6754257592,212263.1858051738,188078.70680080028,2855.0
75931,31.09978,-93.98953,Brookeland,TX,1821.0,8.0,TX,Brookeland,134549.15020702194,142034.15475417237,146914.85958933644,156609.8666371691,169692.8226490738,181058.56012959022,213094.24931426506,249057.7302125309,244948.91937921318,4261.0
75932,31.0551,-93.61396,Burkeville,TX,1343.0,3.9,TX,Burkeville,112712.66572930472,118618.11500017764,125529.17504496191,130457.59160478333,147187.0059587968,163187.65109025795,188603.57269455396,205798.76266707169,210111.70472509734,2546.0
75933,30.55314,-93.81608,Call,TX,1624.0,7.3,TX,Call,79069.19435327062,79668.36225134537,84397.38897370952,93263.94445874651,106736.04886082612,108728.12076215005,118915.10865379364,129589.03759475557,128475.71142658191,2921.0
75935,31.72999,-94.20077,Center,TX,12426.0,13.4,TX,Center,130052.08462152357,133650.61263892322,128636.85760485743,130851.53678291035,141714.05893104276,156207.75884587193,173824.0574987695,180558.07037562729,169817.90707953722,32896.0
