zipcode_x,latitude,longitude,city,state,population,density,zipcode_y,City,2015,2016,2017,2018,2019,2020,2021,2022,2023
75040,32.92797,-96.62006,Garland,TX,64565.0,1588.1,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75041,32.88101,-96.65149,Garland,TX,31451.0,1532.5,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75042,32.91401,-96.67466,Garland,TX,38184.0,1931.7,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75043,32.8571,-96.57986,Garland,TX,64845.0,1707.0,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75044,32.96299,-96.6531,Garland,TX,45895.0,1678.6,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75048,32.9704,-96.58139,Sachse,TX,26956.0,1069.5,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75050,32.77428,-97.0037,Grand Prairie,TX,43422.0,649.1,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75051,32.72635,-96.99375,Grand Prairie,TX,39783.0,1216.6,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75052,32.66455,-97.02809,Grand Prairie,TX,95745.0,1397.9,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75054,32.60036,-97.03409,Grand Prairie,TX,15820.0,1032.3,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
