state,zipcode,Net_Income
TX,76513,70331
TX,76518,2565
TX,76519,1161
TX,76520,18865
TX,76522,86046
TX,76524,6035
TX,76525,2321
TX,76527,8339
TX,76528,33995
TX,76530,5019
TX,76531,10481
TX,76534,4539
TX,76537,13268
TX,76538,1536
TX,76539,14854
TX,76541,57471
TX,76542,107450
TX,76543,86890
TX,76544,59114
TX,76548,56083
TX,76549,120665
TX,76550,25322
TX,76554,4330
TX,76556,3225
TX,76557,11351
TX,76559,11356
TX,76561,2087
TX,76566,562
TX,76567,20508
TX,76569,4915
TX,76570,5921
TX,76571,11840
TX,76574,41853
TX,76577,5447
TX,76578,3287
TX,76579,9514
TX,76621,1873
TX,76622,2050
TX,76623,641
TX,76624,4941
TX,76626,2607
TX,76627,3018
TX,76629,4377
TX,76630,3631
TX,76631,1043
TX,76632,3932
TX,76633,8502
TX,76634,15261
TX,76635,3044
TX,76636,2743
TX,76637,1282
TX,76638,4963
TX,76639,3470
TX,76640,7796
TX,76641,3822
TX,76642,13564
TX,76643,25105
TX,76645,28215
TX,76648,5296
TX,76649,1215
TX,76651,6825
TX,76652,1424
TX,76653,2373
TX,76655,14576
TX,76656,4399
TX,76657,19287
TX,76660,1057
TX,76661,16967
TX,76664,7213
TX,76665,4801
TX,76666,606
TX,76667,28854
TX,76670,3320
TX,76671,3441
TX,76673,2076
TX,76676,759
TX,76679,2622
TX,76681,925
TX,76682,5798
TX,76686,720
TX,76687,2569
TX,76689,7976
TX,76690,3013
TX,76691,12468
TX,76692,21681
TX,76693,3944
TX,76701,4750
TX,76704,25693
TX,76705,76390
TX,76706,78593
TX,76707,51616
TX,76708,64153
TX,76710,59794
TX,76711,28224
TX,76712,38704
TX,76801,53543
TX,76802,10020
TX,76821,10389
TX,76823,6163
TX,76825,15706
TX,76827,844
TX,76832,1310
TX,76834,12680
TX,76837,3134
TX,76844,7245
TX,76849,9891
TX,76852,537
TX,76853,3655
TX,76854,766
TX,76856,7840
TX,76857,3550
TX,76858,514
TX,76859,4819
TX,76861,4507
TX,76864,1590
TX,76866,1171
TX,76871,1638
TX,76872,1029
TX,76875,1189
TX,76877,8912
TX,76878,3298
TX,76882,1198
TX,76890,1727
TX,76901,68340
TX,76903,89498
TX,76904,64215
TX,76905,25548
TX,76908,9756
TX,76932,7154
TX,76933,2621
TX,76934,2322
TX,76935,3035
TX,76936,4990
TX,76937,704
TX,76941,1916
TX,76943,7702
TX,76945,3395
TX,76950,8053
TX,76951,2581
TX,76957,571
TX,76958,590
TX,77002,12747
TX,77003,24222
TX,77004,64603
TX,77005,18843
TX,77006,28725
TX,77007,40444
TX,77008,39836
TX,77009,82979
TX,77010,583
TX,77011,49566
TX,77012,51767
TX,77013,45332
TX,77014,88221
TX,77015,140593
TX,77016,98509
TX,77017,87164
TX,77018,41739
TX,77019,26315
TX,77020,73094
TX,77021,82620
TX,77022,83337
TX,77023,71747
TX,77024,37043
TX,77025,33692
TX,77026,78988
TX,77027,19846
TX,77028,62234
TX,77029,49267
TX,77030,10488
TX,77031,42838
TX,77032,39524
TX,77033,101279
TX,77034,94617
TX,77035,92024
TX,77036,209140
TX,77037,52681
TX,77038,79006
TX,77039,73329
TX,77040,111174
TX,77041,78129
TX,77042,99949
TX,77043,60013
TX,77044,78081
TX,77045,98826
TX,77046,1639
TX,77047,73367
TX,77048,53325
TX,77049,74794
TX,77050,13267
TX,77051,57009
TX,77053,91853
TX,77054,45633
TX,77055,89757
TX,77056,25437
TX,77057,72532
TX,77058,35379
TX,77059,17925
TX,77060,118498
TX,77061,66108
TX,77062,38908
TX,77063,86736
TX,77064,101061
TX,77065,78899
TX,77066,84826
TX,77067,95663
TX,77068,24425
TX,77069,33007
TX,77070,96200
TX,77071,73301
TX,77072,186132
TX,77073,112671
TX,77074,105144
TX,77075,98372
TX,77076,93092
TX,77077,110173
TX,77078,47763
TX,77079,44383
TX,77080,110119
TX,77081,131916
TX,77082,144266
TX,77083,206043
TX,77084,232912
TX,77085,49510
TX,77086,79325
TX,77087,100149
TX,77088,158573
TX,77089,110115
TX,77090,117031
TX,77091,83363
TX,77092,88682
TX,77093,137238
TX,77094,10756
TX,77095,117768
TX,77096,62898
TX,77098,19081
TX,77099,148636
TX,77301,84397
TX,77302,35649
TX,77303,41202
TX,77304,50776
TX,77306,33239
TX,77316,34056
TX,77318,29224
TX,77320,53690
TX,77326,614
TX,77327,48838
TX,77328,34822
TX,77331,13925
TX,77334,825
TX,77335,5046
TX,77336,21745
TX,77338,103436
TX,77339,58992
TX,77340,59598
TX,77342,4452
TX,77345,25231
TX,77346,87246
TX,77350,895
TX,77351,60500
TX,77354,62162
TX,77355,44140
TX,77356,42757
TX,77357,56494
TX,77358,10799
TX,77359,1416
TX,77360,12692
TX,77362,10051
TX,77363,8041
TX,77364,5207
TX,77365,69160
TX,77367,1658
TX,77368,1073
TX,77369,2603
TX,77371,16339
TX,77372,25505
TX,77373,125556
TX,77374,561
TX,77375,89411
TX,77376,736
TX,77377,48505
TX,77378,40016
TX,77379,112440
TX,77380,43593
TX,77381,38722
TX,77382,31905
TX,77384,26659
TX,77385,38833
TX,77386,67631
TX,77388,79686
TX,77389,41916
TX,77396,107779
TX,77401,13924
TX,77406,54057
TX,77407,79257
TX,77414,46131
TX,77415,845
TX,77417,4829
TX,77418,20696
TX,77419,2901
TX,77420,5256
TX,77422,24848
TX,77423,27154
TX,77426,5003
TX,77429,112440
TX,77430,3957
TX,77432,607
TX,77433,114121
TX,77434,12307
TX,77435,10101
TX,77437,44192
TX,77441,10808
TX,77442,2163
TX,77443,816
TX,77444,1572
TX,77445,32337
TX,77446,3760
TX,77447,30714
TX,77448,1878
TX,77449,257998
TX,77450,99624
TX,77451,1984
TX,77453,963
TX,77455,3781
TX,77456,2706
TX,77457,1483
TX,77458,1115
TX,77459,93588
TX,77460,336
TX,77461,22221
TX,77464,1054
TX,77465,16041
TX,77466,1784
TX,77469,87199
TX,77470,857
TX,77471,98077
TX,77473,860
TX,77474,30358
TX,77475,1640
TX,77476,1891
TX,77477,78528
TX,77478,36429
TX,77479,86492
TX,77480,13582
TX,77482,4072
TX,77483,785
TX,77484,23739
TX,77485,6975
TX,77486,13329
TX,77488,34389
TX,77489,101216
TX,77493,55193
TX,77494,98367
TX,77498,96788
TX,77502,90775
TX,77503,55265
TX,77504,54380
TX,77505,40534
TX,77506,93219
TX,77510,25140
TX,77511,97062
TX,77514,9827
TX,77515,54017
TX,77517,9903
TX,77518,25428
TX,77519,1730
TX,77520,88050
TX,77521,106301
TX,77523,28158
TX,77530,73471
TX,77531,31000
TX,77532,53914
TX,77533,2250
TX,77534,4846
TX,77535,56859
TX,77536,54933
TX,77538,1343
TX,77539,83960
TX,77541,36980
TX,77545,56828
TX,77546,70432
TX,77547,23255
TX,77550,65209
TX,77551,52326
TX,77554,12990
TX,77560,2439
TX,77561,2641
TX,77562,21564
TX,77563,21750
TX,77564,3156
TX,77565,12049
TX,77566,46023
