zipcode,P_2015,P_2016,P_2017,P_2018,P_2019,P_2020,P_2021,P_2022,P_2023,Net_Income
75703,207633.54,214560.42,223198.4,231487.36,236562.09,251316.6,280546.53,325886.38,343677.24,85472.0
75704,129516.02,133617.82,141633.1,151601.32,155229.24,167167.84,190657.32,221184.26,237046.97,22167.0
75706,114316.32,120926.87,131818.91,143448.73,147462.83,160040.28,184987.85,212171.83,224754.48,25849.0
75707,179692.71,186353.0,194820.28,202371.74,208102.94,221776.23,250217.91,289295.0,307250.99,30203.0
75708,81134.7,87155.29,97473.1,107791.56,109894.64,120477.81,138851.58,155073.8,166394.92,21917.0
75709,155881.28,162076.47,171813.74,181388.99,185325.47,197194.51,224842.55,262570.6,277009.72,13186.0
75751,109620.07,117004.31,127705.48,136000.3,136724.81,145028.82,167863.9,189598.32,194270.7,42991.0
75752,175797.27,184786.76,195926.57,207416.93,214306.09,230538.17,274289.08,313216.57,313543.08,13842.0
75754,168206.34,175920.16,188554.35,198294.3,211089.08,229676.63,275588.04,312387.67,292227.96,12877.0
75755,122744.78,124973.18,128264.8,135102.79,145615.53,160358.55,187456.25,213156.15,218242.28,11142.0
75756,144340.58,153250.63,165358.67,176926.11,181274.16,193497.11,234321.83,268439.7,273301.99,8805.0
75757,208208.28,216144.03,225559.31,233055.72,240922.92,255864.48,292374.2,344357.98,356949.35,20975.0
75758,162439.18,168771.3,174774.83,185196.44,184718.82,196560.11,230383.9,266615.08,271947.72,20087.0
75765,128705.82,133509.27,139557.5,149856.18,159164.38,179628.75,219802.76,255715.18,265566.22,14687.0
75766,95219.77,99153.92,102068.43,103162.01,111741.94,127482.75,153233.81,176887.99,186839.01,68589.0
75771,166326.26,172641.21,180104.91,190387.27,197347.81,211746.44,241483.32,284116.18,299966.85,37149.0
75773,134126.86,139052.43,147221.56,155232.0,163833.29,182571.66,220443.34,254238.5,261297.82,28283.0
75778,117952.37,126298.75,136070.78,144833.43,149254.74,162755.14,195858.37,226830.68,223462.24,6956.0
75783,128793.38,133644.54,141862.34,146792.89,154815.35,173205.26,208861.08,238590.08,239693.95,15807.0
75789,140349.19,150324.31,158471.54,161885.16,170422.48,189382.94,221531.29,257733.56,265360.8,15160.0
75790,121611.65,125928.08,132244.81,142200.63,153500.62,169792.9,201101.62,231919.63,232135.57,9757.0
75791,153963.69,161221.97,168907.26,176227.05,184360.69,198132.93,222172.34,259331.24,277594.83,23997.0
75792,112163.87,118714.43,125555.03,136340.63,143497.83,156518.9,174658.61,195266.36,206166.16,7572.0
75801,91156.58,96687.15,99395.15,103100.43,110348.38,117651.89,134818.28,155432.76,166818.52,37868.0
75803,100887.31,110225.03,113472.42,119106.65,126660.9,135447.84,156335.98,182521.87,194089.59,32395.0
75831,138987.99,153969.5,155861.77,160645.48,171812.98,190267.15,214413.04,251167.12,240891.74,10129.0
75833,125455.38,152190.58,157933.4,165648.37,169494.13,188629.06,207079.66,236913.19,229365.53,7033.0
75835,96939.59,100906.48,104122.59,113402.04,117684.64,125168.91,142031.33,163132.51,150445.7,27371.0
75839,115977.73,124738.21,127371.67,131413.11,138769.58,146211.38,170951.73,200681.63,218367.36,10881.0
75840,121349.38,124777.63,125928.21,129520.68,135649.48,144686.21,173006.5,203362.34,208732.93,14294.0
75844,118359.79,128678.46,134549.86,142803.33,149452.92,161116.9,190137.89,216295.08,201417.92,10561.0
75845,110330.09,119615.79,120277.11,124723.39,134015.14,142918.59,166808.8,188691.66,181294.65,6038.0
75852,171049.12,184312.24,191226.18,198366.0,203824.61,223790.13,268045.09,326016.45,327043.55,4131.0
75859,221813.17,219699.74,224554.69,239216.33,253584.79,270696.87,325530.45,398754.19,402162.86,3852.0
75860,103547.86,108253.06,107476.4,112785.73,116249.28,124990.36,151932.2,177501.67,167317.24,12077.0
75862,95924.42,101423.46,102998.39,110656.27,118633.35,125119.88,147598.21,168106.01,164694.44,23224.0
75901,106393.62,109231.54,112608.21,115820.37,128465.91,140079.73,156922.1,174862.07,183327.86,69903.0
75904,116493.26,119842.6,122581.01,123881.5,136253.55,149089.18,169106.91,188685.55,191879.55,82321.0
75929,111736.15,124611.97,134740.77,150378.56,162063.3,172598.35,189757.68,212263.19,188078.71,2855.0
75931,134549.15,142034.15,146914.86,156609.87,169692.82,181058.56,213094.25,249057.73,244948.92,4261.0
75932,112712.67,118618.12,125529.18,130457.59,147187.01,163187.65,188603.57,205798.76,210111.7,2546.0
75933,79069.19,79668.36,84397.39,93263.94,106736.05,108728.12,118915.11,129589.04,128475.71,2921.0
75935,130052.08,133650.61,128636.86,130851.54,141714.06,156207.76,173824.06,180558.07,169817.91,32896.0
75938,102906.71,107299.14,111884.21,113771.72,119935.08,132072.3,152130.15,169885.68,155716.67,4947.0
75941,102616.34,101510.74,104054.93,106142.31,117964.38,130351.9,147222.94,162635.49,166062.65,19338.0
