zipcode,latitude,longitude,state,population,Net_Income,bedroom_number,bathroom_number,living_space,land_space,Year,Price
75215,32.75,-96.76,TX,17960,57310,3,2,1525,4736,2015,49433.25
75216,32.71,-96.78,TX,55108,173753,3,2,1446,6820,2015,49628.68
75217,32.71,-96.68,TX,87767,245254,3,2,1368,5317,2015,63902.37
75218,32.84,-96.7,TX,21355,38855,3,3,2298,5727,2015,262517.57
75219,32.81,-96.81,TX,24100,47949,2,3,2117,1679,2015,249260.28
75220,32.87,-96.88,TX,40671,101351,4,4,3997,5072,2015,190091.15
75223,32.79,-96.75,TX,14270,38533,3,2,1693,6786,2015,92669.03
75224,32.71,-96.84,TX,36373,96403,3,2,1537,5219,2015,94976.16
75225,32.87,-96.79,TX,21703,20210,4,4,3831,4246,2015,910465.14
75226,32.78,-96.78,TX,5133,7498,0,1,1035,937,2015,142999.09
75227,32.77,-96.69,TX,58395,166856,3,3,1891,5585,2015,82185.68
75228,32.82,-96.68,TX,71450,189159,3,2,1717,6494,2015,113993.41
75229,32.89,-96.87,TX,32924,61631,4,4,3762,2625,2015,316030.34
75230,32.9,-96.79,TX,26335,42207,4,4,3721,1254,2015,439387.79
75231,32.88,-96.75,TX,38823,110106,2,3,1760,2081,2015,101754.04
75232,32.66,-96.84,TX,33561,92669,3,2,1782,4164,2015,86344.51
75233,32.7,-96.87,TX,16743,37773,4,2,1905,4758,2015,122257.63
75234,32.92,-96.89,TX,32728,79999,3,3,2086,4460,2015,157221.5
75235,32.83,-96.85,TX,19042,46939,2,2,1500,6452,2015,107736.19
75236,32.69,-96.93,TX,17545,48027,3,2,1847,5800,2015,113873.54
75237,32.66,-96.87,TX,18823,64572,4,2,1886,7995,2015,113395.44
75238,32.88,-96.71,TX,31953,59210,4,3,2330,6694,2015,294946.97
75240,32.93,-96.79,TX,26442,64460,3,3,2304,4179,2015,170095.88
75241,32.67,-96.76,TX,31749,105116,3,2,1489,5933,2015,66795.09
75243,32.91,-96.74,TX,65118,186425,3,3,1923,3340,2015,120344.63
75244,32.93,-96.84,TX,12806,19634,4,3,2813,2753,2015,330642.41
75246,32.79,-96.77,TX,2307,6549,3,3,2093,5980,2015,178744.59
75248,32.97,-96.8,TX,36317,55309,3,3,3008,4178,2015,287476.21
75249,32.64,-96.96,TX,17629,34126,4,2,2037,7201,2015,126806.4
75252,33,-96.79,TX,27310,46230,4,3,2853,5299,2015,332542.31
75253,32.67,-96.61,TX,24090,53014,4,2,2221,3568,2015,99781.37
75254,32.95,-96.8,TX,24047,57576,3,4,3163,458,2015,127946.04
75287,33,-96.84,TX,51855,122823,3,3,2653,5192,2015,257121.9
75401,33.19,-96.12,TX,21087,50753,3,2,1599,5078,2015,60589.64
75402,33.07,-96.09,TX,18412,30152,4,2,2119,2358,2015,127778.23
75407,33.15,-96.49,TX,24864,39251,4,2,1886,4725,2015,170246.89
75409,33.35,-96.53,TX,20437,26423,4,3,2218,5870,2015,187030.54
75414,33.63,-96.43,TX,2989,5846,3,3,2507,6,2015,152951.21
75416,33.67,-95.35,TX,2890,6237,3,2,1874,1752,2015,126250.71
75417,33.44,-95.13,TX,2479,5107,3,2,2216,635,2015,99590.89
75418,33.57,-96.18,TX,14726,23918,4,3,2509,2864,2015,93869.73
75422,33.14,-95.93,TX,2862,5406,3,2,1765,418,2015,155806.52
